Zipcode,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent
95232,ZCTA5 95232,168.0,54.5,-666666666.0,40401.0,11.0,6.5476190476190474,-666666666.0
95233,ZCTA5 95233,583.0,52.2,51875.0,26717.0,84.0,14.408233276157805,929.0
95234,ZCTA5 95234,112.0,16.7,-666666666.0,11599.0,0.0,0.0,-666666666.0
95236,ZCTA5 95236,4196.0,40.2,67769.0,33377.0,336.0,8.007626310772164,518.0
95237,ZCTA5 95237,3124.0,39.0,52450.0,25729.0,628.0,20.102432778489117,858.0
95240,ZCTA5 95240,48065.0,33.2,43364.0,20596.0,9782.0,20.35160719858525,762.0
95242,ZCTA5 95242,25752.0,42.6,64899.0,33919.0,2033.0,7.89453246349798,987.0
95245,ZCTA5 95245,1958.0,53.0,58125.0,31786.0,559.0,28.549540347293156,747.0
95246,ZCTA5 95246,1071.0,62.0,37018.0,28627.0,111.0,10.364145658263306,649.0
95247,ZCTA5 95247,4709.0,56.1,45648.0,38634.0,516.0,10.95774049692079,954.0
95248,ZCTA5 95248,127.0,65.1,28194.0,15976.0,14.0,11.023622047244094,-666666666.0
95249,ZCTA5 95249,4377.0,44.5,40532.0,24323.0,542.0,12.38291066940827,864.0
95250,ZCTA5 95250,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,-666666666.0
95251,ZCTA5 95251,538.0,54.6,50278.0,25078.0,37.0,6.877323420074349,811.0
95252,ZCTA5 95252,15068.0,47.3,64918.0,28013.0,1541.0,10.226971064507566,1295.0
95254,ZCTA5 95254,897.0,55.5,118966.0,52568.0,0.0,0.0,-666666666.0
95255,ZCTA5 95255,1655.0,61.8,33531.0,20169.0,417.0,25.196374622356494,705.0
95257,ZCTA5 95257,454.0,50.2,36548.0,22513.0,97.0,21.365638766519822,-666666666.0
95258,ZCTA5 95258,3882.0,47.8,75466.0,37323.0,381.0,9.8145285935085,799.0
95301,ZCTA5 95301,38356.0,32.1,51340.0,21354.0,7917.0,20.640838460736262,737.0
95303,ZCTA5 95303,678.0,38.8,38393.0,31510.0,190.0,28.023598820058996,657.0
