City,State,Metro,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
Columbia,TN,Nashville,Maury,129900,130600,131000,131600,132500,133500,134200,134700,136000,138200,140200,142100
North Fort Myers,FL,Fort Myers,Lee,144900,145700,146300,147300,148700,149900,151400,153200,154600,156500,158800,160800
Parkersburg,WV,Parkersburg,Wood,80700,80500,80400,80200,79900,80100,81200,82200,82500,82600,83000,83200
Pinellas Park,FL,Tampa,Pinellas,122900,123800,124800,125800,126800,128000,129800,132000,133800,135800,138200,140400
Portage,MI,Kalamazoo,Kalamazoo,142700,142900,143300,143500,143500,143700,144100,144700,145400,146000,146600,146900
El Centro,CA,El Centro,Imperial,155000,157800,161200,165400,171600,176600,179100,181900,183500,184000,185000,187100
Mentor,OH,Cleveland,Lake,155200,155600,156600,158100,159400,159900,159900,160200,161400,162800,163900,165000
Kaneohe,HI,Urban Honolulu,Honolulu,745000,750600,755700,759300,763000,767500,770400,771400,773300,776400,781600,787600
Clayton,NC,Raleigh,Johnston,172200,173700,174900,175600,176400,177000,177700,178100,178100,178200,178800,179900
Downers Grove,IL,Chicago,Du Page,312200,311800,312600,313600,315000,316700,317700,317900,317800,317700,318300,319300
Wellington,FL,Miami-Fort Lauderdale,Palm Beach,341400,342400,342200,343100,345100,347100,349000,351300,353000,354600,356400,358300
Sebring,FL,Sebring,Highlands,95500,96800,97700,98400,99600,101700,104000,105800,106800,107500,108400,110200
Highland,CA,Riverside,San Bernardino,276500,278000,278800,280100,282100,284300,286000,287300,288500,290500,292800,295800
Wauwatosa,WI,Milwaukee,Milwaukee,217900,218200,219100,220300,221500,222700,223900,225200,226200,227300,228400,229100
Wake Forest,NC,Raleigh,Wake,275100,277200,278600,280200,282000,283200,284200,285500,286800,287600,288300,289200
Methuen,MA,Boston,Essex,284300,284700,285100,285900,287000,289500,293100,297100,301600,305900,309000,311200
West Orange,NJ,New York,Essex,345300,346100,345700,343800,341500,339900,340100,340900,341200,341400,342000,343700
Frankfort,KY,Frankfort,Franklin,114000,114700,115500,116300,116900,117500,118400,119500,120800,122100,123000,123100
Danville,CA,San Francisco,Contra Costa,1182000,1185800,1188000,1185000,1175700,1166300,1161700,1161200,1161300,1163500,1168800,1176400
Murray,UT,Salt Lake City,Salt Lake,250800,252000,253600,255900,258100,259700,261000,262800,265700,268800,270700,272700
Lakewood,OH,Cleveland,Cuyahoga,135300,137000,138000,138700,139700,141500,144300,147200,149300,150900,152800,154200
Old Bridge,NJ,New York,Middlesex,323200,323600,323200,322900,322600,323000,323100,322800,321600,320800,320700,321200
Massapequa,NY,New York,Nassau,422100,423900,427300,430500,431400,431600,432600,434600,436500,438300,440200,442900
Normal,IL,Bloomington,McLean,152800,152900,152800,152600,152300,152500,152400,151700,151100,150800,150700,150000
Lebanon,TN,Nashville,Wilson,186000,186600,188000,190200,192300,194300,196400,198500,200400,202700,204800,206700
Johns Creek,GA,Atlanta,Fulton,335400,337500,340100,344000,348900,354200,360600,367400,373100,378400,383300,387200
Battle Creek,MI,Battle Creek,Calhoun,59900,59700,60100,60800,61200,61800,63300,64800,65600,66500,67400,67700
Oroville,CA,Chico,Butte,161700,163000,164200,166000,167200,168200,170300,173500,176500,178700,181100,183700
East Brunswick,NJ,New York,Middlesex,326600,325200,322700,321800,323600,324500,324900,324600,321900,318600,317900,318600
La Mirada,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,505400,509900,513600,516900,518800,519800,522800,527200,530900,533400,536800,540400
Hammond,LA,Hammond,Tangipahoa,139900,142800,145100,145500,144800,143800,144000,144800,145100,144900,145700,146100
Apex,NC,Raleigh,Wake,295900,297300,298700,300500,302800,305600,307800,309800,311800,314100,316000,317800
Buckeye,AZ,Phoenix,Maricopa,171300,172200,173300,174600,176500,178700,180500,181500,182300,183500,185400,186900
Lakeville,MN,Minneapolis-St Paul,Dakota,297100,299100,300600,302400,303700,304600,306000,307700,309800,311900,313200,313400
Saint Louis Park,MN,Minneapolis-St Paul,Hennepin,235800,237400,239100,240200,240400,241300,242800,244100,245300,246600,247400,248500
Wahiawa,HI,Urban Honolulu,Honolulu,520300,526200,532100,537200,541800,547100,551700,553500,555200,559000,563600,567500
Roseville,MI,Detroit,Macomb,68900,68800,68800,69000,69500,70300,71400,72600,73600,74300,75000,75900
Huntersville,NC,Charlotte,Mecklenburg,261900,263400,265800,268600,270700,271900,272900,274100,275500,277300,278600,279400
Galveston,TX,Houston,Galveston,154400,154300,154500,155100,156600,158700,160500,162400,165000,167300,169000,170000
Menifee,CA,Riverside,Riverside,297100,298400,300000,302200,304200,306800,309700,311800,313100,315400,318000,319100
Cleveland Heights,OH,Cleveland,Cuyahoga,91900,92900,93500,93800,94100,94700,95900,97400,98900,100000,100200,100200
Logan,UT,Logan,Cache,168600,169100,169700,170500,171000,171900,173000,173700,173700,173300,172500,171800
Starkville,MS,Starkville,Oktibbeha,167900,168400,168800,169200,169800,170000,170100,170400,171100,171700,172200,172600
Castro Valley,CA,San Francisco,Alameda,707400,710300,714800,722800,730400,733100,734500,735600,736400,737300,741700,750800
Aliso Viejo,CA,Los Angeles-Long Beach-Anaheim,Orange,555900,557200,558100,559400,561000,562600,565100,569100,574500,579000,581500,583600
Olive Branch,MS,Memphis,DeSoto,181800,181300,180600,180300,179700,177500,173800,171300,172300,174100,174800,176100
Perth Amboy,NJ,New York,Middlesex,185400,185800,185200,183700,183200,183800,183800,184100,185200,185900,186100,186100
Lincoln,CA,Sacramento,Placer,390200,393700,396400,398400,400600,403300,406200,408600,409800,411900,415600,420100
Tuckahoe,VA,Richmond,Henrico,245600,246800,247400,247500,246900,246600,247200,247800,248200,249000,250000,251200
Apache Junction,AZ,Phoenix,Pinal,156000,157300,158100,159500,161400,163500,165700,168600,170800,172200,173600,174900
Grand Blanc,MI,Flint,Genesee,139400,138800,139100,139700,140400,141500,143000,144500,146100,147500,148800,150200
Twin Falls,ID,Twin Falls,Twin Falls,154400,155500,156200,156900,157700,158500,159100,158900,158800,159100,159800,161100
Fort Washington,MD,Washington,Prince Georges,268500,269300,271900,275300,277500,278100,278600,279200,279800,281000,283500,285100
New Albany,IN,Louisville/Jefferson County,Floyd,108900,109800,110700,111700,112300,112800,113300,113800,114600,115700,116400,116900
Hempfield,PA,Pittsburgh,Westmoreland,135200,135300,135100,135000,135000,134900,134600,134000,133700,133900,134000,133300
Mount Vernon,WA,Mount Vernon,Skagit,250600,253100,254700,256300,258500,261600,265000,268000,270300,272400,274500,276500
Palm Desert,CA,Riverside,Riverside,312200,311400,311100,311300,310700,311000,312600,313500,314100,315600,316800,315900
Cuyahoga Falls,OH,Akron,Summit,111300,111400,111500,112000,113000,113900,114500,115100,115400,115500,116100,116800
Glenview,IL,Chicago,Cook,438800,438900,439000,438000,437100,436700,436400,437000,438500,439700,441300,443900
Bedford,TX,Dallas-Fort Worth,Tarrant,190500,192500,194800,197300,199100,200900,203200,205000,206600,208800,211400,214000
Longwood,FL,Orlando,Seminole,235600,237500,239000,240200,241700,243500,245000,246700,248500,250100,251300,252000
Draper,UT,Salt Lake City,Salt Lake,405000,406500,409200,412900,416000,418800,421300,422800,423900,424900,425000,425800
Wallingford,CT,New Haven,New Haven,235100,235500,235700,235800,236200,237600,238700,239000,238800,238200,237800,238300
Lawrence,IN,Indianapolis,Marion,132400,133500,134300,134500,134900,136200,137500,138600,139600,140300,140300,140500
Howell,MI,Detroit,Livingston,204100,205400,206900,208000,208400,209600,211600,213400,214400,215600,217100,218500
Moline,IL,Davenport,Rock Island,90700,90700,90800,90800,90800,90800,90900,91400,91700,91700,91800,91700
Hamilton,NJ,Trenton,Mercer,208800,207400,205900,205300,204900,204900,205500,205700,205200,204400,204300,204700
West Seneca,NY,Buffalo,Erie,140800,141100,141400,141900,142200,142300,142600,143200,144100,145000,145500,145800
Altoona,PA,Altoona,Blair,68300,69300,69200,68800,68900,69000,69100,69600,70400,71100,71900,72100
Sammamish,WA,Seattle,King,705600,711000,717800,725600,733100,741400,751400,761000,769200,778200,788200,797100
Spanaway,WA,Seattle,Pierce,222600,223700,224700,226600,229200,232000,234800,237200,239500,241900,243900,245400
Elmira,NY,Elmira,Chemung,73000,73400,73600,73700,73200,72600,72700,73200,73400,73200,73100,72900
Washington,NJ,Philadelphia,Gloucester,207200,207000,207200,207300,207700,208500,208900,209100,209900,210600,211700,212300
Doral,FL,Miami-Fort Lauderdale,Miami-Dade,317600,321400,325800,327400,327100,326900,326600,325400,325800,329100,333200,335000
Strongsville,OH,Cleveland,Cuyahoga,184300,185500,185400,185000,185200,186200,187700,189100,189800,190200,191000,192500
Hilo,HI,Hilo,Hawaii,285700,287800,289300,290100,290800,292500,295000,297000,298400,298900,298600,299000
Grove City,OH,Columbus,Franklin,145100,145100,145800,147000,148100,149300,151000,152700,154200,155200,155600,156300
Enid,OK,Enid,Garfield,92100,94300,95200,95800,95500,94200,92700,91600,90900,90800,91000,91400
Pittsfield,MA,Pittsfield,Berkshire,147700,147900,147700,147800,148300,148700,149200,150100,150400,150500,150800,150800
Yorktown,VA,Virginia Beach,York,298700,296900,295600,296700,298900,300600,301400,301800,303100,304500,305200,305300
Crossville,TN,Crossville,Cumberland,120700,120800,121400,122400,124000,125700,126600,126800,126900,126600,126100,125900
North Bethesda,MD,Washington,Montgomery,420100,423500,423500,424100,426700,428600,428700,429600,429300,428500,430100,431700
Rocky Mount,NC,Rocky Mount,Nash,82000,81700,81600,81200,80600,80100,80200,81000,81900,82700,83100,83100
Longview,WA,Longview,Cowlitz,155800,157500,159000,159400,160600,162800,164900,166900,169600,173300,177100,180300
Egg Harbor,NJ,Atlantic City,Atlantic,185500,184400,183600,184100,184500,184100,183200,182800,182400,181200,179700,178500
Bloomfield Hills,MI,Detroit,Oakland,402600,403500,404300,404200,404200,404800,406900,409000,409600,409800,411200,412700
Mandeville,LA,New Orleans,Saint Tammany,229600,231400,233800,235600,237500,240200,242800,243900,245400,248000,250300,252500
Elmhurst,IL,Chicago,Du Page,371100,371700,373800,375700,376800,378400,380000,380900,381500,382500,384000,386500
Diamond Bar,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,607500,607900,607800,608900,611400,613700,616000,619600,624200,628500,631800,634800
Martinez,CA,San Francisco,Contra Costa,516100,517300,519900,523000,525900,528400,531400,534400,537000,539200,543500,550000
Bloomfield,NJ,New York,Essex,276400,276400,276900,276100,274400,273700,274800,276300,277800,278700,279400,281400
Coral Gables,FL,Miami-Fort Lauderdale,Miami-Dade,706300,711400,717900,720800,721400,725700,730500,731100,732000,738100,745500,750400
Clarkston,MI,Detroit,Oakland,230800,232000,233300,234000,234500,235700,237200,237800,238300,239800,241700,242800
Greenwood,SC,Greenwood,Greenwood,101400,101600,102000,102400,102600,102700,103200,103900,104200,103900,103700,103700
Fairfield,OH,Cincinnati,Butler,137100,137800,138500,139100,139200,139100,139400,139900,140500,141000,141500,141600
Asheboro,NC,Greensboro,Randolph,107200,107600,107800,108200,108100,107700,108000,109000,110400,112000,113400,114400
Richmond,IN,Richmond,Wayne,76000,76200,76100,75600,75100,75200,75200,75200,75100,75400,76000,76400
Attleboro,MA,Providence,Bristol,262000,261600,262000,263000,263700,264300,266000,268400,270800,272700,274400,275900
Pocatello,ID,Pocatello,Bannock,136600,137400,137900,138100,137500,136500,136200,136400,136600,136400,136100,135900
Edmonds,WA,Seattle,Snohomish,446500,452800,458500,463700,467400,470900,475800,482200,487200,490700,494600,501500
Desoto,TX,Dallas-Fort Worth,Dallas,150200,151500,153100,155300,157300,160000,163600,167200,170400,173200,175000,176500
York,PA,York,York,39900,40000,40100,40700,41800,42700,43200,43500,43600,43800,44200,44600
Chesterfield,MI,Detroit,Macomb,173300,173800,174000,174300,174400,175000,176600,178200,179100,179900,181300,182700
Hackensack,NJ,New York,Bergen,228400,229000,230700,233500,235500,235800,235600,236500,239300,241900,243300,244400
Campbell,CA,San Jose,Santa Clara,1064100,1066000,1065400,1065100,1065300,1065800,1066900,1067700,1069900,1073700,1079400,1090900
Roseburg,OR,Roseburg,Douglas,177100,173800,172000,173300,174900,175300,176200,177900,178700,180000,182500,184000
Arlington,MA,Boston,Middlesex,596600,601300,605600,607700,609000,609900,610900,612500,615200,618100,622300,630200
Cedar Park,TX,Austin,Williamson,241200,242200,244000,247200,250800,254200,257300,259500,261700,264000,266100,267600
Desert Hot Springs,CA,Riverside,Riverside,162000,162600,162800,163400,164700,166500,168200,169200,169900,171400,173200,174200
Cerritos,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,656000,656200,656900,658600,659200,659500,661600,664800,669100,673600,677000,679600
Rogers,AR,Fayetteville,Benton,141800,142900,143700,144800,146300,147700,148900,150100,151600,153300,154700,155700
Lake City,FL,Lake City,Columbia,102800,101600,101500,101800,102400,102700,102800,103100,103600,104000,104000,104600
Burke,VA,Washington,Fairfax,471500,472500,473600,474600,475600,477100,479100,481600,484900,487200,489000,490200
Dekalb,IL,Chicago,DeKalb,129000,129100,129800,130100,129400,128500,127500,126700,126200,125900,126500,128100
Henrietta,NY,Rochester,Monroe,144700,148100,151300,154600,157700,160600,162200,162100,161600,161500,161200,160400
Orangeburg,SC,Orangeburg,Orangeburg,77300,77400,77200,77300,77300,77300,77300,77300,77300,77600,78200,79200
Webster,NY,Rochester,Monroe,193100,197800,202000,205500,208300,210500,211500,211200,210000,208700,206800,204400
Concord,NH,Concord,Merrimack,188200,188300,189100,190000,191100,192500,193800,194600,195800,197400,198500,199700
Brunswick,OH,Cleveland,Medina,157500,158300,159100,159700,160900,162300,162300,161900,161800,162100,162500,163000
Chesterfield,MO,St. Louis,Saint Louis,355300,355000,356800,359700,362200,364000,366100,369200,372400,374300,375600,376200
Port Richey,FL,Tampa,Pasco,63400,64300,66000,67600,68700,69500,70600,72100,74200,76400,78300,79700
Catonsville,MD,Baltimore,Baltimore,249400,251700,252400,252500,253200,255800,259400,262500,264000,265100,267200,270200
Plymouth,MA,Boston,Plymouth,302600,304300,306200,307500,308500,309300,310700,313400,316600,318800,320300,322400
Newark,CA,San Francisco,Alameda,693700,695900,697000,699400,702400,703300,705500,708000,711500,716400,721700,726800
Penn Hills,PA,Pittsburgh,Allegheny,73800,73700,74300,74900,75000,75300,76300,77000,77400,78000,78400,78900
Bell Gardens,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,370800,373000,375100,377200,378400,379700,382500,386600,389900,391400,393000,396100
Alpharetta,GA,Atlanta,Fulton,300500,302000,305200,310600,317100,323600,331000,337900,343500,348100,351900,354900
Thibodaux,LA,Houma,Lafourche,143800,144300,145200,146400,147400,147700,147600,147500,147700,147600,147200,147200
Mount Juliet,TN,Nashville,Wilson,249300,250900,251900,253700,255900,257500,258900,260600,262500,264500,266300,268200
East Lansing,MI,Lansing,Ingham,164700,165600,166800,168800,171300,173700,176200,178100,179400,180600,181500,182100
Taunton,MA,Providence,Bristol,230200,230600,231600,233300,234200,234900,236500,238800,241000,243600,246800,250000
Charleston,WV,Charleston,Kanawha,115700,116400,117200,118000,118400,118000,116900,115800,115500,115500,115000,114400
Everett,MA,Boston,Middlesex,298100,301000,303800,307100,311100,315900,321700,327800,333000,337000,341600,346900
Manchester,NJ,New York,Ocean,157900,158300,158600,159600,160700,161800,163100,163600,162600,161500,161700,162900
Prattville,AL,Montgomery,Autauga,139100,139100,139200,139300,139400,139700,140200,140900,141600,141600,141500,142100
Palm Springs,CA,Riverside,Riverside,352700,353200,355000,357500,359000,361500,364400,366600,365000,361600,360000,360800
Potomac,MD,Washington,Montgomery,840700,837800,837600,841800,846300,848600,849500,849600,850800,855900,859400,859500
Granbury,TX,Dallas-Fort Worth,Hood,195500,196700,197200,197700,197100,196300,197200,199600,200800,201100,201200,201600
Fallbrook,CA,San Diego,San Diego,490900,491300,491100,493200,495300,494700,494300,496400,499200,502100,506200,511100
Mankato,MN,Mankato,Blue Earth,165900,167100,168400,169500,170300,170800,171000,170900,171200,171800,172800,174200
Patchogue,NY,New York,Suffolk,263500,264300,264500,264500,264000,263700,265500,268000,269400,270800,273200,276200
Hudson,FL,Tampa,Pasco,124500,125600,126600,127200,127800,128900,130200,131800,132900,133800,135000,136300
Oakland Park,FL,Miami-Fort Lauderdale,Broward,149000,150000,151200,152500,154700,158500,163100,167000,170500,174300,178100,181800
Monrovia,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,601700,602800,602100,602300,602600,602900,605700,611900,618300,622100,625100,630000
Dunwoody,GA,Atlanta,Dekalb,398600,401400,403900,406500,407900,408700,410100,412900,417400,422300,424300,424800
West Chester,OH,Cincinnati,Butler,196500,198100,199400,201200,203700,206200,208600,210700,212700,214400,215700,216500
Joplin,MO,Joplin,Jasper,96300,96700,97200,97700,97400,96900,96900,97000,96900,96700,96600,96300
La Porte,IN,Michigan City,La Porte,127600,129800,130700,130200,129500,130000,130600,130900,130900,130200,129000,127600
Clifton Park,NY,Albany,Saratoga,271200,271400,271000,270800,271100,271800,272700,273100,273500,274800,275700,275500
Freeport,NY,New York,Nassau,296500,299600,303800,306700,307600,308800,310900,313700,316700,319000,320800,323300
Rancho Santa Margarita,CA,Los Angeles-Long Beach-Anaheim,Orange,584700,586400,587500,588700,590200,593000,596700,599600,601500,604600,607600,609100
Claremore,OK,Tulsa,Rogers,126400,126700,127200,128000,129000,130300,131200,131700,132700,134500,136600,138800
Lehi,UT,Provo,Utah,284700,286700,289200,292300,295500,298200,300300,302900,306000,308900,311900,314800
San Jacinto,CA,Riverside,Riverside,218900,219800,220800,222500,224200,226100,228300,230600,232700,235300,237900,238900
Westfield,MA,Springfield,Hampden,225100,226300,227900,229400,231600,234100,235600,236300,237400,238200,238100,237300
Texas City,TX,Houston,Galveston,92100,93000,94300,95500,96400,97000,97800,99000,100300,101800,103500,105200
Woonsocket,RI,Providence,Providence,140800,140900,141300,142600,145000,147300,149000,151300,154300,156600,158500,160600
Elizabethtown,KY,Elizabethtown,Hardin,135500,135100,135000,135200,135100,135100,135400,135800,135700,136400,138200,140100
Cypress,CA,Los Angeles-Long Beach-Anaheim,Orange,603000,603700,604600,606900,610000,612900,615600,618300,620100,621800,624000,627000
Okeechobee,FL,Okeechobee,Okeechobee,105400,105300,105200,105500,105900,106200,106800,107700,108800,109700,110500,111700
Lakeside,CA,San Diego,San Diego,446800,448400,448800,450200,451600,452300,452900,454400,456500,458800,461800,464900
Danville,IL,Danville,Vermilion,50200,50100,50900,51400,51100,50900,50600,50300,50100,50200,50000,49900
Auburn,CA,Sacramento,Placer,370400,372500,375800,378700,380900,384100,388000,391800,395300,398900,402700,407400
North Lauderdale,FL,Miami-Fort Lauderdale,Broward,124600,125800,127000,128700,131400,134600,137800,140900,144500,148400,152000,154600
Hoover,AL,Birmingham,Jefferson,248900,250000,250900,251500,251700,252300,253500,254600,255200,255700,256100,256000
Shakopee,MN,Minneapolis-St Paul,Scott,230300,231400,232800,234300,235300,236700,238100,238600,238500,239200,240200,241100
Fitchburg,MA,Worcester,Worcester,157200,158200,159300,159800,160200,160300,160800,162000,163700,165300,166800,168200
Haltom City,TX,Dallas-Fort Worth,Tarrant,94300,95700,97100,98800,100500,101800,103300,104800,106500,108800,111600,114200
Linden,NJ,New York,Union,207500,209700,210500,211200,212200,214600,218000,220000,220400,220500,220900,221100
Collierville,TN,Memphis,Shelby,281400,282100,283600,285900,288100,290400,292900,295000,296600,297800,299100,300500
Kapolei,HI,Urban Honolulu,Honolulu,562700,568000,573300,576800,579900,583900,587300,588100,588500,589400,592900,598900
Leominster,MA,Worcester,Worcester,208400,210800,212700,214400,216000,216900,217700,219400,221900,224100,225900,227200
Hopkinsville,KY,Clarksville,Christian,97800,97400,97400,97500,97800,98100,98600,99200,99400,99500,99400,99200
Crestview,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,141600,141100,141100,141800,142200,141700,141300,142800,145500,146800,146800,147200
Brea,CA,Los Angeles-Long Beach-Anaheim,Orange,650500,651500,651400,651200,652100,655000,659500,663700,666800,670000,672600,673600
Milledgeville,GA,Milledgeville,Baldwin,122300,123100,124100,124700,124900,125000,125100,125300,125300,125300,125400,125600
Cumberland,MD,Cumberland,Allegany,84100,84200,84800,84900,85000,85400,85900,86100,86400,86100,85900,86300
Fair Oaks,CA,Sacramento,Sacramento,374400,376400,380300,385100,387600,388900,391900,395600,399300,403300,405400,406200
Rowland Heights,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,588300,589400,589000,587800,585900,584900,585200,586500,589700,593100,595300,597600
Marion,IN,Marion,Grant,63900,63700,63200,62800,62700,62600,62500,62800,63200,63200,63000,62800
Merritt Island,FL,Melbourne,Brevard,222200,225500,228500,230800,233100,235200,236600,238300,241100,244300,246900,248000
Lindenhurst,NY,New York,Suffolk,297400,303200,306500,308600,311300,313400,314300,314800,314500,311700,308800,307600
Grapevine,TX,Dallas-Fort Worth,Tarrant,292900,296700,300400,303900,307000,309200,310000,310800,312300,314100,315700,316900
Norwich,CT,New London,New London,123700,125000,126100,127400,128900,131200,134400,137400,139700,141500,143200,144800
Kearny,NJ,New York,Hudson,269500,270500,271000,271800,272500,274200,277200,280100,279900,277700,277400,279500
La Puente,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,392200,393700,394400,395900,397800,399300,401100,404600,408400,410600,412600,416000
Aiea,HI,Urban Honolulu,Honolulu,611500,617900,625000,629200,632400,634900,636900,639600,642500,643500,645500,649400
Gig Harbor,WA,Seattle,Pierce,376200,378000,379900,382700,386700,391500,396400,399900,403200,406600,408700,410000
Peachtree Corners,GA,Atlanta,Gwinnett,277900,278900,280200,282100,285500,289300,293300,297400,301100,303600,306500,310300
Holyoke,MA,Springfield,Hampden,161700,161400,161500,162200,163400,164400,165200,165700,166200,167200,168800,170500
Eureka,CA,Eureka,Humboldt,201200,202900,204900,207500,210900,214300,216600,219100,222700,226400,229100,230300
Country Club,FL,Miami-Fort Lauderdale,Miami-Dade,168300,170500,172600,173600,174600,177000,179600,181000,182600,185800,188900,191000
Muskogee,OK,Muskogee,Muskogee,56300,56600,56600,56600,56600,56600,56800,57300,57600,57900,58300,58700
North Brunswick,NJ,New York,Middlesex,268500,265800,263000,262300,262800,263900,264900,264300,262600,261900,262500,264600
Elkton,MD,Philadelphia,Cecil,191300,190700,190900,191700,192700,193600,194500,194900,195500,196500,198000,200100
Blue Springs,MO,Kansas City,Jackson,144800,145700,146500,147400,148800,150500,152000,153100,153700,154100,154700,155400
Fenton,MO,St. Louis,Saint Louis,201800,202200,203000,203400,203500,203600,204100,205000,206000,206500,207600,208500
Buford,GA,Atlanta,Gwinnett,205700,206600,207000,207500,208600,210200,212400,214300,215700,216500,217500,219200
Idaho Falls,ID,Idaho Falls,Bonneville,146000,147100,148100,149400,151000,152800,154800,156800,158800,160200,161100,161800
Agua Dulce,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,566800,569300,569600,574300,585500,598600,610200,616100,617200,615900,615900,620200
Hoffman Estates,IL,Chicago,Cook,234800,235600,236500,236800,236400,236700,237800,239300,240600,242300,243900,244800
Crystal Lake,IL,Chicago,McHenry,180100,180100,180600,180800,180400,179900,179400,179400,180000,181100,181500,181300
Salem,MA,Boston,Essex,314300,314300,314500,314800,315500,317200,319900,322500,324900,326500,327700,329300
State College,PA,State College,Centre,265000,265900,264800,263800,263000,262200,262100,263800,266400,269600,273100,276500
Tonawanda,NY,Buffalo,Erie,121500,122200,122700,123100,123200,123600,124300,125000,126100,127200,127900,128500
Germantown,TN,Memphis,Shelby,281900,282300,283300,284800,286600,288300,289700,291000,292200,293400,294200,295300
New Berlin,WI,Milwaukee,Waukesha,233900,234200,234600,236100,238700,240800,242100,243600,245500,247000,247800,247700
Lake Oswego,OR,Portland,Clackamas,547300,553300,558400,563600,569300,574600,579800,583400,587200,592100,597500,601800
Evans,GA,Augusta,Columbia,228400,229800,230500,231500,232400,232600,232000,231400,230300,228700,227500,228100
Grass Valley,CA,Truckee,Nevada,319900,321200,321700,322700,325700,329600,333100,336300,339400,342100,345000,348000
Menlo Park,CA,San Francisco,San Mateo,2048400,2067200,2084800,2092000,2091100,2075700,2058900,2046900,2033700,2024700,2028300,2030900
Levittown,NY,New York,Nassau,361300,364000,367300,369700,370000,369300,369500,370800,372200,373400,375300,378300
Cedar Hill,TX,Dallas-Fort Worth,Dallas,143700,144300,145600,147700,149600,151400,154000,156700,159000,161000,162500,163600
Elmont,NY,New York,Nassau,361700,364200,366100,367800,367900,368300,370800,375100,379000,382300,384900,387600
Rowlett,TX,Dallas-Fort Worth,Dallas,191900,193600,195100,197000,199000,201100,203300,205300,207800,210800,213400,215800
Sarasota,FL,North Port-Sarasota-Bradenton,Sarasota,219800,222600,224500,226000,227300,228600,229700,231000,233100,235800,238500,241100
Merrillville,IN,Chicago,Lake,118900,119600,120600,120400,119700,119800,120700,121600,122400,122900,123300,123300
Streamwood,IL,Chicago,Cook,168900,170100,171100,171700,171900,171900,172400,173300,174200,175300,177100,178400
Port Huron,MI,Detroit,Saint Clair,58300,58100,58100,58000,58000,58300,58700,59200,60300,61700,62700,63700
Ankeny,IA,Des Moines,Polk,195400,197600,200000,202400,204600,206300,207500,207700,208500,210200,212000,213000
Franklin,NJ,New York,Somerset,300200,301200,301200,301800,302700,303200,303300,303400,303900,304700,306100,308000
Fort Pierce,FL,Port St. Lucie,Saint Lucie,88600,90200,92300,94700,97200,99900,102400,104500,106900,109800,112900,115800
Palestine,TX,Palestine,Anderson,87900,88200,88700,88900,89000,89100,89600,90100,90300,90500,90900,91200
Bountiful,UT,Ogden,Davis,252900,256000,258500,261000,264300,267200,270400,273500,276600,279600,281200,281000
Wooster,OH,Wooster,Wayne,125300,126300,127000,127700,128400,129000,129200,128900,129300,130100,130700,131600
Georgetown,KY,Lexington,Scott,155300,155500,156300,157900,159600,160700,162200,163800,164600,164700,164600,164300
Hillsborough,NJ,New York,Somerset,393300,392000,390300,390400,391900,393100,394200,396300,398700,400600,402900,406500
Teaneck,NJ,New York,Bergen,328200,328700,330900,334300,336500,338200,339200,340000,341600,343300,344100,344900
Towson,MD,Baltimore,Baltimore,324700,326200,326300,325900,325700,326200,326800,326800,325600,325000,325700,326900
Cutler Bay,FL,Miami-Fort Lauderdale,Miami-Dade,228500,231200,234500,237100,239200,241800,244800,246500,248100,251500,255500,258400
Kalispell,MT,Kalispell,Flathead,205900,206600,207800,209300,210400,211700,213800,215900,217700,219900,222600,225200
Brighton,MI,Detroit,Livingston,231900,233600,235400,236300,236500,237200,237600,237800,238700,239800,240900,242300
Bartlesville,OK,Bartlesville,Washington,81300,80900,80800,81500,82600,83800,84600,85200,85800,86600,86800,86800
Manassas,VA,Washington,Prince William,352400,351200,350100,350700,353000,355600,357200,358900,361300,363700,365800,367800
Enterprise,FL,Daytona Beach,Volusia,160800,162700,163300,163900,165400,167600,169000,169300,169500,170800,172600,174600
Nicholasville,KY,Lexington,Jessamine,132800,133100,134300,135300,135600,135800,136800,137900,138400,138400,139100,140000
Bothell,WA,Seattle,Snohomish,436000,439300,443500,448200,452000,455900,460800,465900,470500,475000,479700,485800
Manheim,PA,Lancaster,Lancaster,205700,206000,206500,207300,208700,210800,212400,213500,214700,215900,216600,217500
Palm Beach Gardens,FL,Miami-Fort Lauderdale,Palm Beach,333300,335500,336900,339300,342300,344200,345500,347700,350500,352800,353800,355600
Owasso,OK,Tulsa,Tulsa,160100,160700,161900,163800,165600,166600,167300,168300,169700,170900,172200,173300
West Babylon,NY,New York,Suffolk,304400,305100,305400,306700,308500,308300,307500,307700,306800,304900,303900,303500
Winter Springs,FL,Orlando,Seminole,216600,217700,219500,221600,223800,226200,228500,230700,233000,234700,236300,237500
