City,State,Metro,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
Helmetta,NJ,New York,Middlesex,207300,207900,210600,212000,211900,211700,210400,210300,211900,213500,213900,215000
Erma,NJ,Ocean City,Cape May,176700,173400,171800,173000,175500,175500,173400,169500,165000,160900,157800,156300
Larkspur,CO,Denver,Douglas,516000,518400,522500,525500,524800,525800,529500,533000,535800,539600,542500,545800
Marshallville,OH,Wooster,Wayne,131900,132900,133800,134600,135500,137300,139200,140500,141200,142200,143500,145100
Brady,PA,DuBois,Clearfield,71200,71400,71700,71800,71700,71900,72200,72600,72800,72900,73000,73500
Hampton,TN,Johnson City,Carter,76500,76800,76600,77000,78100,78700,79200,79700,79800,79600,79700,80000
German Flatts,NY,Utica,Herkimer,90700,90400,90800,91700,92400,92800,94000,95500,96300,96800,97400,97800
Indian Springs Village,AL,Birmingham,Shelby,299500,296400,293900,293100,293200,293300,293900,294100,295600,298500,300700,300900
Oxford,FL,The Villages,Sumter,199900,199900,200800,202100,203600,203400,201700,199400,198900,199300,200700,201600
Willards,MD,Salisbury,Wicomico,137800,139100,140200,142300,145300,148000,149900,151200,151800,152300,153000,153300
Riva,MD,Baltimore,Anne Arundel,408300,412000,414800,417300,419300,421800,424500,427000,429000,431400,433300,434900
Clinton,PA,,Wayne,126200,126100,125500,124100,123000,122900,122900,122300,122300,123600,125400,126400
Croyle,PA,Johnstown,Cambria,108400,109000,109800,110400,111000,111500,112000,112100,111600,111200,111100,110900
Schofield,WI,Wausau,Marathon,92000,92700,93400,93900,93800,93200,92700,93200,94000,93900,93600,93700
Evansburg,PA,Philadelphia,Montgomery,276700,277600,278400,279400,279900,281200,284400,287600,289700,292400,295700,298300
Seaside Heights,NJ,New York,Ocean,184900,185600,187000,188900,191700,193900,195100,195300,194500,193300,192000,190900
Niwot,CO,Boulder,Boulder,617700,623200,628500,634400,641200,649400,657400,659300,658500,659400,661100,658700
Gastonville,PA,Pittsburgh,Washington,139900,138800,137900,138600,140500,141900,143100,144500,146100,146400,145500,145200
Meadowbrook,AL,Birmingham,Shelby,266400,266700,267700,269100,270200,270300,270200,270300,270800,271100,271800,273300
Colebrook,NH,Berlin,Coos,104300,104900,105400,106000,106300,105900,106100,106400,106400,106000,105900,105900
Cajahs Mountain,NC,Hickory,Caldwell,96700,97100,97300,97400,97700,98000,97900,97600,97300,97600,98500,98900
Ogdensburg,NJ,New York,Sussex,163800,157000,152500,150700,152500,156600,160900,164300,167200,171900,175900,177100
West Lake Hills,TX,Austin,Travis,887900,896700,909000,921400,930600,934900,940100,948200,958200,968900,976500,978500
Goochland,VA,Richmond,Goochland,183100,184100,185200,186400,187500,188400,189200,190000,190400,190000,189800,190100
Dodge Center,MN,Rochester,Dodge,142000,142900,143700,144600,144700,144400,145600,147400,147200,145300,145200,147600
El Dorado,CA,Sacramento,El Dorado,408600,411800,414600,417200,419200,418700,416600,416700,420500,425100,427200,428100
Bonneau,SC,Charleston,Berkeley,137700,138000,139200,140600,141400,142700,144300,145800,147000,148200,149100,150200
Coolspring,PA,Youngstown,Mercer,144800,144300,143600,142600,141800,142700,144300,144600,143700,142500,141600,140600
Champion Heights,OH,Youngstown,Trumbull,87600,88300,89400,89500,89000,89600,90900,91200,90600,90400,90400,90600
Hampton Falls,NH,Boston,Rockingham,392300,392100,393300,395500,398600,401500,404000,406100,407200,407300,408100,408700
Loretto,TN,Lawrenceburg,Lawrence,77400,77900,78600,78900,79100,79400,79800,80000,80000,79900,80100,80700
Avoca,PA,Scranton,Luzerne,80200,80100,79300,77600,75300,73700,73500,73600,73600,74000,74500,74800
Fairview,NY,New York,Westchester,390400,394600,398900,400100,397000,393600,391100,387800,383800,381300,381000,377700
Rush,PA,State College,Centre,100100,99200,99300,99700,99500,98800,98700,98900,98600,96900,94500,92700
Lexington,OH,Mansfield,Richland,111400,112200,112700,113200,113800,114300,114800,114800,115000,115200,115000,114300
New Eagle,PA,Pittsburgh,Washington,67400,68500,70100,71900,74600,76100,77000,78000,79500,80700,81300,81300
Manor,PA,Pittsburgh,Westmoreland,139100,138300,138300,138700,139300,140000,140800,141500,142500,143700,144600,145100
College,PA,State College,Centre,273000,274300,274200,274700,274900,275500,277100,279100,280500,281400,282200,283300
Hinsdale,MA,Pittsfield,Berkshire,194800,199000,202600,206200,209400,210600,210400,210000,211500,212300,212600,212100
Gates Mills,OH,Cleveland,Cuyahoga,478100,479100,479400,479500,480400,482600,485900,488700,490800,492400,494800,497600
Alburtis,PA,Allentown,Lehigh,158500,157900,157600,157600,157800,158300,158600,159700,161400,161800,160800,160800
Kingsville,MO,Warrensburg,Johnson,181300,180700,180000,179800,179400,178800,178200,177900,177700,177500,176800,176300
Tequesta,FL,Miami-Fort Lauderdale,Palm Beach,318500,321100,323000,326800,332600,337000,340600,344800,349200,353100,355600,356600
Conneaut Lakeshore,PA,Meadville,Crawford,116000,116300,116700,116700,116800,116900,117300,118200,119700,120400,120200,119900
Moline Acres,MO,St. Louis,Saint Louis,48700,48100,46400,44300,42700,41900,41600,41700,42000,41900,41500,41500
Heiskell,TN,Knoxville,Anderson,129200,129800,130700,131000,131500,131500,131700,133500,136300,138300,140000,140500
Yardley,PA,Philadelphia,Bucks,289100,289500,292200,296200,300600,304700,308600,312800,316600,318500,319300,320200
Lauderdale,MN,Minneapolis-St Paul,Ramsey,184300,184400,185100,186100,187300,187600,188100,189300,191300,193600,195400,196800
Blue Grass,IA,Davenport,Scott,200500,200600,200500,201000,203200,205700,207800,208300,207900,207800,208200,208900
Comer,GA,Athens,Madison,111300,111400,111900,112100,111900,112100,112800,112900,112500,112400,112900,113400
Carlton,OR,Portland,Yamhill,232900,234000,236100,237700,241000,247000,253100,256200,259400,263200,267600,271700
New Athens,IL,St. Louis,Saint Clair,96200,95500,95600,94800,93100,92300,92900,93100,91800,90000,88700,88300
Cross Roads,TX,Dallas-Fort Worth,Denton,189500,190600,192000,194100,196800,199700,201900,204000,207100,210200,212600,214000
West Paducah,KY,Paducah,McCracken,132400,131900,131800,132400,132900,133000,133200,134000,134900,135600,136300,137300
Nelson,NY,Syracuse,Madison,148000,147900,148300,149300,150300,151100,151600,152400,152900,153100,152600,152600
Litchfield,MI,Hillsdale,Hillsdale,86600,86000,86300,87000,86900,87000,88200,89700,91300,93000,94200,94800
Fair Play,SC,Seneca,Oconee,178400,181400,183700,184200,183800,185700,188400,189100,190500,193700,196900,196900
Stoutsville,OH,Columbus,Fairfield,129900,127400,125500,125600,127200,129600,131000,131100,130400,130700,132000,133400
Rockefeller,PA,Sunbury,Northumberland,141500,141800,141400,141600,141800,141600,141800,142400,143200,143800,144500,145400
Wellfleet,MA,Cape Cod,Barnstable,511700,511200,511300,512600,514600,515600,514700,512400,509900,506700,505900,507800
Milton,NY,Kingston,Ulster,196400,195800,195700,195900,193700,191200,189700,187600,185100,183600,185000,189900
Brinckerhoff,NY,New York,Dutchess,238800,240300,241400,241100,241500,242500,242900,242500,243100,245300,248100,249300
Hegins,PA,Pottsville,Schuylkill,109300,109400,109900,111200,112300,112000,110600,110500,112300,113500,114400,116500
Clifton,IL,,Iroquois,121900,121100,120000,119700,119600,119600,119500,119800,120100,120600,121900,123500
Ellis,KS,Hays,Ellis,91400,91900,92600,93400,93700,93700,94000,94400,94700,95100,95600,95600
