Zipcode,City,State,CountyName,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent,Median Home Value,Number of House Build in year,Avg_HomeValue,Employment Rate,Latitude,Longitude,Temp
95993,Yuba City,CA,Sutter,36617.0,39.0,65044.0,27663.0,5320.0,14.52877078952399,959.0,248700.0,1988.0,264300.0,46.844361908403215,39.14,-121.62,85.6
96001,Redding,CA,Shasta,34260.0,43.4,45694.0,28501.0,5514.0,16.094570928196152,693.0,255800.0,1975.0,238116.66666666663,44.31990659661413,40.59,-122.39,86.58
96002,Redding,CA,Shasta,32943.0,39.5,44721.0,23845.0,5286.0,16.04589745924779,736.0,215200.0,1978.0,223275.0,45.03232856752573,40.59,-122.39,86.58
96003,Redding,CA,Shasta,44929.0,40.3,47753.0,26234.0,7817.0,17.398562175877494,861.0,233500.0,1988.0,250425.0,45.77444412294955,40.59,-122.39,86.58
96013,Burney,CA,Shasta,4538.0,42.2,36604.0,19955.0,1011.0,22.27853680035258,554.0,135100.0,1973.0,111258.33333333331,40.12780960775672,40.88,-121.66,87.8
96019,Shasta Lake,CA,Shasta,10121.0,37.1,46394.0,20788.0,1981.0,19.57316470704476,780.0,156800.0,1980.0,160766.66666666663,43.217073411718204,40.68,-122.36,86.59
96025,Dunsmuir,CA,Siskiyou,2121.0,54.0,33200.0,20177.0,499.0,23.526638378123533,662.0,150500.0,1947.0,117808.33333333331,39.27392739273928,41.21,-122.27,80.42
96032,Fort Jones,CA,Siskiyou,2518.0,43.4,46719.0,23060.0,549.0,21.80301826846704,565.0,248900.0,1973.0,170483.33333333337,38.60206513105639,38.26,-120.42,80.6
96057,McCloud,CA,Siskiyou,1305.0,54.1,40729.0,24025.0,250.0,19.157088122605366,656.0,184500.0,1956.0,147800.0,37.70114942528736,41.26,-122.14,80.35
96067,Mount Shasta,CA,Siskiyou,6828.0,55.2,38848.0,29442.0,1368.0,20.035149384885766,767.0,250600.0,1978.0,249858.33333333328,46.57293497363796,41.31,-122.31,80.37
96073,Palo Cedro,CA,Shasta,4174.0,49.8,79528.0,35316.0,352.0,8.433157642549112,1611.0,360100.0,1979.0,330608.33333333326,40.943938667944415,40.56,-122.24,86.52
96088,Shingletown,CA,Shasta,4410.0,59.4,44664.0,25257.0,645.0,14.625850340136054,890.0,203600.0,1985.0,192875.0,29.909297052154198,40.49,-121.89,87.8
96094,Weed,CA,Siskiyou,6446.0,46.5,48750.0,25263.0,978.0,15.172199813838036,702.0,187100.0,1983.0,158633.33333333337,45.29941048712379,41.42,-122.39,80.06
96097,Yreka,CA,Siskiyou,9744.0,42.2,32280.0,21571.0,2729.0,28.00697865353038,614.0,157300.0,1975.0,153508.33333333337,39.593596059113295,41.73,-122.64,79.29
96122,Portola,CA,Plumas,3532.0,42.2,35652.0,24616.0,558.0,15.79841449603624,510.0,184800.0,1979.0,141675.0,44.790486976217444,39.81,-120.47,77.36
96130,Susanville,CA,Lassen,20812.0,33.3,52459.0,17310.0,2160.0,10.378627714779936,745.0,173000.0,1980.0,154425.0,27.23428791082068,40.42,-120.65,78.8
96134,Tulelake,CA,Modoc,2203.0,40.1,37462.0,20849.0,451.0,20.472083522469358,431.0,118600.0,1961.0,54300.0,44.847934634589215,41.96,-121.48,78.8
96140,Carnelian Bay,CA,Placer,805.0,45.9,86953.0,42384.0,161.0,20.0,888.0,546400.0,1977.0,531091.6666666665,57.7639751552795,39.23,-120.08,76.96
96142,Tahoma,CA,El Dorado,766.0,40.8,44420.0,28358.0,54.0,7.049608355091382,1004.0,443400.0,1971.0,491591.66666666674,57.049608355091394,39.07,-120.13,77.52
96143,Kings Beach,CA,Placer,3737.0,36.7,47197.0,26474.0,408.0,10.917848541610915,869.0,384700.0,1974.0,391825.0,69.62804388546962,39.24,-120.02,76.95
96145,Tahoe City,CA,Placer,2399.0,46.1,68015.0,39879.0,286.0,11.921634014172573,1081.0,603500.0,1974.0,642958.3333333335,61.525635681533956,39.17,-120.14,76.98
96146,Tahoe City,CA,Placer,968.0,45.7,56719.0,61626.0,79.0,8.161157024793388,851.0,862600.0,1982.0,568400.0,63.429752066115704,39.17,-120.14,76.98
96148,Tahoe Vista,CA,Placer,776.0,31.6,52672.0,22531.0,87.0,11.211340206185568,1016.0,614600.0,1980.0,505433.33333333326,62.88659793814434,39.24,-120.05,76.96
96150,South Lake Tahoe,CA,El Dorado,29001.0,40.0,51400.0,28713.0,4022.0,13.8684872935416,830.0,367300.0,1973.0,370975.0,55.767042515775316,38.93,-119.98,78.01
96161,Truckee,CA,Nevada,18255.0,39.3,79457.0,44369.0,1265.0,6.9296083264858925,1307.0,515100.0,1988.0,518116.66666666674,57.77047384278279,39.33,-120.18,76.98
