Zipcode,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,average rent,Median Home Value
01151,ZCTA5 01151,9295.0,32.0,36541.0,16820.0,2611.0,28.090371167294244,705.0,133500.0
01199,ZCTA5 01199,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,-666666666.0,-666666666.0
01201,ZCTA5 01201,45001.0,43.4,45893.0,28433.0,7152.0,15.892980155996533,678.0,172400.0
01220,ZCTA5 01220,8266.0,45.1,48422.0,27309.0,852.0,10.307282845390757,533.0,149700.0
01222,ZCTA5 01222,829.0,49.2,76944.0,41175.0,45.0,5.428226779252111,790.0,254800.0
01223,ZCTA5 01223,2247.0,52.2,72981.0,39324.0,129.0,5.740987983978638,946.0,259900.0
01224,ZCTA5 01224,176.0,49.9,36324.0,23039.0,20.0,11.363636363636363,536.0,192300.0
01225,ZCTA5 01225,3192.0,49.0,58145.0,32108.0,154.0,4.824561403508772,703.0,198800.0
01226,ZCTA5 01226,6885.0,47.2,57202.0,32405.0,732.0,10.631808278867103,635.0,187500.0
01229,ZCTA5 01229,102.0,62.8,27083.0,19587.0,5.0,4.901960784313726,-666666666.0,246700.0
01230,ZCTA5 01230,8195.0,49.4,59702.0,35371.0,439.0,5.35692495424039,796.0,344300.0
01235,ZCTA5 01235,2666.0,47.6,60718.0,32438.0,185.0,6.939234808702175,600.0,193200.0
01236,ZCTA5 01236,1422.0,42.3,80385.0,32117.0,20.0,1.4064697609001406,-666666666.0,330500.0
01237,ZCTA5 01237,2755.0,43.3,83311.0,31664.0,123.0,4.464609800362976,905.0,242100.0
01238,ZCTA5 01238,5950.0,48.7,63109.0,35946.0,607.0,10.201680672268907,685.0,250800.0
01240,ZCTA5 01240,4592.0,58.3,54250.0,48764.0,353.0,7.687282229965157,757.0,369400.0
01242,ZCTA5 01242,429.0,32.0,56840.0,25313.0,3.0,0.6993006993006993,-666666666.0,251700.0
01243,ZCTA5 01243,381.0,56.4,76250.0,46979.0,26.0,6.824146981627297,-666666666.0,221700.0
01244,ZCTA5 01244,82.0,60.3,-666666666.0,51809.0,9.0,10.975609756097562,-666666666.0,427300.0
01245,ZCTA5 01245,870.0,54.7,66136.0,42633.0,106.0,12.183908045977011,930.0,427600.0
01247,ZCTA5 01247,15725.0,44.4,38007.0,23957.0,2580.0,16.406995230524643,575.0,154100.0
01253,ZCTA5 01253,734.0,51.9,71010.0,39333.0,20.0,2.7247956403269753,575.0,239500.0
01254,ZCTA5 01254,985.0,58.7,89583.0,67264.0,68.0,6.903553299492386,1125.0,447500.0
01255,ZCTA5 01255,869.0,50.5,67333.0,36881.0,36.0,4.142692750287687,604.0,288600.0
01256,ZCTA5 01256,764.0,47.9,49000.0,27351.0,58.0,7.591623036649215,548.0,188400.0
