Zipcode,City,State,CountyName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
90502,West Carson,CA,Los Angeles,428800,430900,434100,438600,442000,444000,445800,448200,452300,456300,460600,466000
91901,Alpine,CA,San Diego,555300,556600,555800,555400,555400,556200,558400,559800,560500,561900,564300,566400
91204,Glendale,CA,Los Angeles,484400,488000,493200,499300,504700,509600,514800,518900,524300,532200,540200,545200
93630,Kerman,CA,Fresno,194400,195300,196300,198100,199400,200000,201600,204600,206400,206700,207300,208700
95963,Orland,CA,Glenn,184700,184700,184800,185800,186900,187700,188900,190400,191900,193300,194900,196500
93610,Chowchilla,CA,Madera,162900,165700,168000,169000,169100,169600,170800,172100,173100,174300,175000,174900
92344,Hesperia,CA,San Bernardino,251700,253500,255300,256600,257600,258300,260100,263000,265100,265700,265600,266200
94960,San Anselmo,CA,Marin,1081000,1086700,1081500,1065500,1050700,1041400,1036500,1037000,1045400,1057700,1065600,1068600
92010,Carlsbad,CA,San Diego,649100,652500,654900,657500,659100,660700,665200,671200,676000,680200,685600,690600
93728,Fresno,CA,Fresno,132600,134000,135400,136200,136700,136900,137500,138800,140700,142400,144200,145700
93402,Los Osos,CA,San Luis Obispo,465200,468300,470900,472500,474400,477300,480200,480400,479600,481800,486700,493000
92587,Canyon Lake,CA,Riverside,336300,336200,336600,337800,339000,341600,344900,347600,349400,352300,354500,355000
92225,Blythe,CA,Riverside,120300,121400,122700,123800,124600,126100,127600,128200,129600,132500,134900,136800
94920,Tiburon,CA,Marin,2500800,2497600,2486900,2474900,2469200,2491500,2545700,2595000,2595900,2582500,2573200,2572000
94505,Discovery Bay,CA,Contra Costa,507600,507400,509700,513900,517300,521100,526100,531000,535100,540300,546100,551000
91902,Bonita,CA,San Diego,599100,600400,599400,600600,603400,605400,608300,612600,616200,619400,623900,628300
93631,Kingsburg,CA,Fresno,233300,234800,236400,238300,240300,241200,242100,243600,246100,248300,250500,252500
95814,Sacramento,CA,Sacramento,428300,432200,437800,443100,445500,446500,443800,440400,439200,439500,435100,431300
93263,Shafter,CA,Kern,165300,166600,165100,164500,166200,168000,169200,169000,167900,167600,168100,168600
95138,San Jose,CA,Santa Clara,999700,1005800,1011200,1018400,1026200,1032900,1036000,1036900,1039900,1044400,1053800,1067800
94965,Sausalito,CA,Marin,1271200,1274100,1277500,1280700,1279600,1281900,1289700,1295300,1296600,1295100,1287300,1280100
94507,Alamo,CA,Contra Costa,1699500,1702900,1699800,1694400,1690500,1690100,1688300,1684700,1678400,1670200,1666400,1672100
93927,Greenfield,CA,Monterey,251000,251400,252500,254800,257400,259800,262000,263900,265200,267200,270300,272700
93923,Carmel-by-the-Sea,CA,Monterey,1188200,1191600,1197100,1204900,1214800,1220900,1226400,1235900,1244700,1249900,1253900,1251900
92866,Orange,CA,Orange,618600,622100,625700,629500,632300,634300,638100,642300,644900,647800,651300,654100
94556,Moraga,CA,Contra Costa,1205600,1217300,1232400,1250200,1264100,1263600,1250200,1245200,1252200,1259300,1264400,1268600
