"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06"
"Longview, TX",199,169000,168700,164500,162500,165000,167200,165000,165000,165000,165000,167500,164900,164400,165000,165000,164900,165000,164900,163950,164950,165000,161950,164200,165000,159900,159900,159900,160000,159900,160000,159500,159900,159900,159900,159900,159000,155500,158000,159500,159500,159500,159000,159250,159000,155000,159000,159900,159900,159900,164000,164000,168500,169900,169500,172000,175000,173700,171000,169900,169900,169900,169900,169900,170950,173450,174900,174900,175900,179500,177000,179900,179000,173900,175000,175500,179000,179900,179900,180000,179000,175000,171500,174925,174500,168511.5,167500,164500,168000,169000,165500,167000,168650,168500,165000,165000,165000,164900,160000,164000,164850,165000,169900
"Burlington, VT",200,258500,259000,259000,259900,265000,264900,259900,254500,249900,249900,248944,239900,239900,239000,239000,239900,239900,239950,242450,241000,240000,239900,239004,234900,235000,235000,239000,239000,242250,249000,249500,245000,240000,239900,235000,229900,235000,235000,239900,241950,245000,246900,248000,249000,248000,256950,254900,254900,250000,250000,258900,259900,269000,269250,264900,265000,264500,259900,259900,259900,254900,260000,262500,265000,268300,269900,269900,271250,268300,269900,269900,269945,265000,264900,269900,272000,273000,269000,264900,272500,274500,275000,275900,278950,279950,280000,280000,279900,279500,279000,285000,281900,289900,285000,289900,289250,285000,289000,278700,290000,293200,295000
"Prescott, AZ",201,259950,249900,249500,247750,248500,239900,239000,244900,239500,225000,225500,224900,215000,210000,215000,218000,219900,220000,219900,218900,217500,215000,210000,209250,210000,210000,215000,215500,218000,215000,215000,210000,209900,2e+05,212250,209900,215000,227074,230000,240000,239900,242000,245000,249500,250000,268000,275000,275000,275000,279000,278950,285000,290000,295000,289000,285000,285000,276860,275000,278900,279900,279000,279950,289000,295000,294700,295000,289900,289900,294450,295000,289950,294900,295000,299000,312000,310000,311950,305000,307820,315000,324900,325000,325000,325000,328500,331400,340000,342840,348000,349000,347500,349949.5,350000,359950,365000,359900,350000,349900,355000,363890,359900
"Springfield, IL",202,129900,129900,124900,127900,127900,129450,127900,124900,119900,121900,119900,117000,119900,119900,119900,119900,124700,125000,127900,125000,129000,129500,124950,119900,119900,122000,128750,129500,129500,124900,125450,129000,119900,119900,119250,121200,118950,119900,126950,122900,124500,122000,119900,119900,119900,118500,115900,118400,117500,119900,134900,137500,132700,134900,134950,132500,129900,133000,134900,134450,128500,129900,133500,139900,146000,149900,149900,149700,147700,148000,144900,144900,142000,144900,149900,154900,152700,152250,145900,140500,144700,148500,144700,139100,138750,139900,145000,154900,165000,166900,157250,154900,149900,147400,140000,139900,137900,139900,144900,143617.5,144200,142500
"Tyler, TX",203,197500,190000,189900,189900,195000,195000,189900,188000,188000,187000,184320,179900,179900,179900,184900,189200,192000,189900,189900,189900,189000,186000,179900,184900,182450,179900,179900,179000,179900,179850,178500,169900,175000,174500,169900,169900,169000,169500,169900,172500,174900,175000,175000,174460,178763.5,174900,173375,174825,178250,189900,192000,195000,197500,193000,191500,189500,189900,185000,183000,180950,186500,189000,189900,195000,199900,199900,199900,199000,199750,204500,205400,198500,199900,205450,215000,215000,222750,225000,225000,228250,225000,229900,227250,229000,224900,224900,224950,235950,234900,235000,235000,237700,249900,249000,243000,239000,239000,239000,244125,249900,250000,249000
"Las Cruces, NM",204,215000,214900,209450,210000,214900,209900,212500,209000,199500,199900,199000,195500,197000,194900,190000,189900,189900,187700,187000,180000,182550,175990,172500,169900,168925,169000,169900,169000,167995,165982.5,165000,164945,165000,168000,166160,169000,169900,178500,179990,181350,187750,183900,179900,179900,175000,175000,175000,175000,177445,179000,178750,179900,179900,178587.5,179900,179999.5,180000,179900,179000,175000,179900,179000,178900,184000,186890,189000,187250,184995,184362.5,185000,185000,180500,184600,185000,183225,184491,182625,186000,188450,188000,189416.5,193250,193250,193345,192500,197330,196267,199500,194528,195000,199000,197500,199900,199900,201560,202800,204900,201950,199900,200839,203925,202939.5
"Fargo, ND",205,162522,159650,159900,159900,164900,169056.5,164900,164900,159900,159000,154900,154900,154900,149900,149976.5,154900,159700,157500,154900,154900,154800,149900,149900,149900,148900,149900,149900,149900,151000,155000,154900,159800,155747.5,154900,155000,153900,154900,154900,156200,159999.5,165000,164486,167597,165900,164900,169900,170000,169900,179000,187850,188622.5,185450,2e+05,2e+05,192875,195000,199900,212450,215000,224900,214950,217159,215000,219000,231865,235450,229900,234763,235000,239100,239900,239900,245000,244927,245475,244958.5,252050,252000,253986,250000,249850,245700,245000,249900,249900,250000,255555,256827,255450,250000,249900,249369,243900,247900,247900,249184.5,249701,249557,247900,249900,249000,245000
"Houma, LA",206,165000,160000,162500,164900,165000,169500,168000,165900,168000,167500,165000,162250,162250,164500,164500,160000,160000,160000,159900,155000,159700,159900,160000,161000,164950,167500,168600,168000,165000,160000,160000,165000,165000,165000,164000,160350,164500,164750,165000,168000,167500,168000,169900,169000,169500,169900,167000,165600,165000,165000,167000,168000,167500,168900,169000,167000,168000,175000,175000,175000,175950,178500,179000,179000,176900,175000,175000,169900,165000,169900,166500,165000,175000,182000,189000,185000,184500,184500,185500,184700,184500,185500,179900,180000,176000,175000,179000,180000,179900,179900,179949.5,179500,175000,175000,174950,175000,175000,175000,175000,178500,179000,177000
"Rochester, MN",207,160000,164900,159950,159900,162500,159900,155900,155900,156967.5,154900,154900,149900,144900,149900,149900,149700,149900,149900,149900,146450,149900,146000,142543,139900,144900,149900,149900,149900,149900,150000,149900,151875,155900,155900,157900,149900,149900,150000,154900,149949.5,154900,156900,157900,157400,154900,157900,154900,150000,149900,159900,164900,165000,169999,169900,169900,169900,169900,175000,175450,174900,174838.5,179900,188900,189900,190000,193200,190550,195000,199900,2e+05,203875,2e+05,202000,205000,214900,219900,209900,204900,202450,199950,205000,209000,209900,203450,184900,2e+05,219900,224900,219900,219999.5,224900,229900,229900,227800,229900,229900,229900,230000,240000,249900,246700,245700
"Florence, SC",208,159900,162900,155500,155000,154900,157750,154000,158000,155000,155000,154900,149900,149000,135000,149900,149900,149900,149900,149900,149000,147900,149000,144900,139000,139900,138900,138900,139500,139900,139900,139000,139250,136000,135000,134900,134900,134900,130000,132500,134900,134900,136900,135000,135949.5,135000,137200,134950,135000,134300,134400,136000,139900,139900,139500,139900,139900,139900,139700,140000,139900,139900,139900,144900,145000,149900,149900,159000,153200,151266,152000,149900,149900,149000,149000,147000,149900,152200,153500,154900,149900,149900,149600,148500,148750,149900,155450,159000,159000,163315,169999,170000,167900,164900,159900,159900,164900,160000,167000,169900,168000,169900,168000
